   1.00000000     ;   1.00000000     ;   1.00000000    
   1.01254368     ;   1.25898683     ;   1.21398675    
   1.04857683     ;   1.51975656     ;   1.42972946    
   1.10631919     ;   1.78808558     ;   1.65204668    
   1.18467748     ;   2.06911564     ;   1.88526499    
   1.28312778     ;   2.36751866     ;   2.13335514    
   1.40162325     ;   2.68761849     ;   2.40003562    
   1.54051948     ;   3.03347683     ;   2.68884897    
   1.70051455     ;   3.40894747     ;   3.00321388    
   1.88259792     ;   3.81770420     ;   3.34645748    
   2.08800602     ;   4.26324224     ;   3.72182751    
   2.31818080     ;   4.74885464     ;   4.13248682    
   2.57472873     ;   5.27758503     ;   4.58148956    
   2.85937834     ;   5.85215664     ;   5.07173872    
   3.17393303     ;   6.47487545     ;   5.60592699    
   3.52021956     ;   7.14751196     ;   6.18645763    
   3.90002751     ;   7.87116098     ;   6.81535149    
   4.31504107     ;   8.64608192     ;   7.49413538    
   4.76676130     ;   9.47152901     ;   8.22371960    
   5.25641918     ;   10.3455696     ;   9.00426674    
   5.78488016     ;   11.2649164     ;   9.83506107    
   6.35254192     ;   12.2247705     ;   10.7143803    
   6.95922804     ;   13.2186975     ;   11.6393852    
   7.60408449     ;   14.2385597     ;   12.6060390    
   8.28547955     ;   15.2745142     ;   13.6090612    
   9.00092125     ;   16.3150940     ;   14.6419353    
   9.74698925     ;   17.3473911     ;   15.6969776    
   10.5193033     ;   18.3573494     ;   16.7654705    
   11.3125200     ;   19.3301544     ;   17.8378639    
   12.1203785     ;   20.2507248     ;   18.9040470    
   12.9357882     ;   21.1042690     ;   19.9536610    
   13.7509632     ;   21.8768845     ;   20.9764614    
   14.5576057     ;   22.5561485     ;   21.9626789    
   15.3471193     ;   23.1316700     ;   22.9033775    
   16.1108570     ;   23.5955391     ;   23.7907658    
   16.8403759     ;   23.9426517     ;   24.6184502    
   17.5276966     ;   24.1708755     ;   25.3816109    
   18.1655445     ;   24.2810555     ;   26.0770779    
   18.7475567     ;   24.2768517     ;   26.7033310    
   19.2684479     ;   24.1644402     ;   27.2604065    
   19.7241325     ;   23.9521027     ;   27.7497406    
   20.1117821     ;   23.6497402     ;   28.1739635    
   20.4298401     ;   23.2683697     ;   28.5366592    
   20.6779785     ;   22.8196144     ;   28.8421173    
   20.8570175     ;   22.3152428     ;   29.0950985    
   20.9688072     ;   21.7667637     ;   29.3006115    
   21.0160904     ;   21.1851044     ;   29.4637203    
   21.0023479     ;   20.5803661     ;   29.5893955    
   20.9316463     ;   19.9616585     ;   29.6823845    
   20.8084774     ;   19.3370075     ;   29.7471371    
